canonical_name,full_name,domain,tier,source_preference,openreview_id_pattern,s2_venue_key,openalex_venue_name,aliases
ITC-Asia,International Test Conference in Asia,Systems,C,s2,,ITC-Asia,ITC-Asia,"itc-asia,itcasia"
SEC Edge,ACM/IEEE Symposium on Edge Computing,Systems,C,s2,,ACM IEEE Symposium on Edge Computing,ACM IEEE Symposium on Edge Computing,"acm ieee sec,edge computing sec,sec edge,secedge"
NAS,"International Conference on Networking, Architecture and Storages",Systems,C,s2,,NAS,NAS,nas
HotStorage,HotStorage,Systems,C,s2,,HotStorage,HotStorage,hotstorage
APPT,International Symposium on Advanced Parallel Processing Technology,Systems,C,s2,,APPT,APPT,appt
JCC,International Conference on JointCloud Computing,Systems,C,s2,,JCC,JCC,jcc
SIGCOMM,"ACM International Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",Network,A,s2,,SIGCOMM,SIGCOMM,sigcomm
MobiCom,ACM International Conference on Mobile Computing and Networking,Network,A,s2,,MobiCom,MobiCom,mobicom
INFOCOM,IEEE International Conference on Computer Communications,Network,A,s2,,INFOCOM,INFOCOM,infocom
NSDI,Symposium on Network System Design and Implementation,Network,A,s2,,NSDI,NSDI,nsdi
SenSys,ACM Conference on Embedded Networked Sensor Systems,Network,B,s2,,SenSys,SenSys,sensys
CoNEXT,ACM International Conference on Emerging Networking Experiments and Technologies,Network,B,s2,,CoNEXT,CoNEXT,conext
SECON,"IEEE International Conference on Sensing, Communication, and Networking",Network,B,s2,,SECON,SECON,secon
IPSN,International Conference on Information Processing in Sensor Networks,Network,B,s2,,IPSN,IPSN,ipsn
MobiSys,"ACM International Conference on Mobile Systems, Applications, and Services",Network,B,s2,,MobiSys,MobiSys,mobisys
ICNP,IEEE International Conference on Network Protocols,Network,B,s2,,ICNP,ICNP,icnp
MobiHoc,"International Symposium on Theory, Algorithmic Foundations, and Protocol Design for Mobile Networks and Mobile Computing",Network,B,s2,,MobiHoc,MobiHoc,mobihoc
NOSSDAV,International Workshop on Network and Operating System Support for Digital Audio and Video,Network,B,s2,,NOSSDAV,NOSSDAV,nossdav
IWQoS,IEEE/ACM International Workshop on Quality of Service,Network,B,s2,,IWQoS,IWQoS,iwqos
IMC,ACM Internet Measurement Conference,Network,B,s2,,IMC,IMC,imc
ANCS,ACM/IEEE Symposium on Architectures for Networking and Communication Systems,Network,C,s2,,ANCS,ANCS,ancs
APNOMS,Asia-Pacific Network Operations and Management Symposium,Network,C,s2,,APNOMS,APNOMS,apnoms
FORTE,"International Conference on Formal Techniques for Distributed Objects, Components, and Systems",Network,C,s2,,FORTE,FORTE,forte
LCN,IEEE Conference on Local Computer Networks,Network,C,s2,,LCN,LCN,lcn
GLOBECOM,IEEE Global Communications Conference,Network,C,s2,,GLOBECOM,GLOBECOM,globecom
ICC,IEEE International Conference on Communications,Network,C,s2,,ICC,ICC,icc
ICCCN,IEEE International Conference on Computer Communications and Networks,Network,C,s2,,ICCCN,ICCCN,icccn
MASS,IEEE International Conference on Mobile Adhoc and Sensor Systems,Network,C,s2,,MASS,MASS,mass
P2P,IEEE International Conference on Peer-to-Peer Computing,Network,C,s2,,P2P,P2P,p2p
IPCCC,IEEE International Performance Computing and Communications Conference,Network,C,s2,,IPCCC,IPCCC,ipccc
WoWMoM,"IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks",Network,C,s2,,WoWMoM,WoWMoM,wowmom
ISCC,IEEE Symposium on Computers and Communications,Network,C,s2,,ISCC,ISCC,iscc
WCNC,IEEE Wireless Communications and Networking Conference,Network,C,s2,,WCNC,WCNC,wcnc
Networking,IFIP International Conferences on Networking,Network,C,s2,,Networking,Networking,networking
IM,IFIP/IEEE International Symposium on Integrated Network Management,Network,C,s2,,IM,IM,im
MSN,"International Conference on Mobility, Sensing and Networking",Network,C,s2,,MSN,MSN,msn
MSWiM,"International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems",Network,C,s2,,MSWiM,MSWiM,mswim
WASA,The International Conference on Wireless Artificial Intelligent Computing Systems and Applications,Network,C,s2,,WASA,WASA,wasa
HotNets,ACM The Workshop on Hot Topics in Networks,Network,C,s2,,HotNets,HotNets,hotnets
APNet,Asia-Pacific Workshop on Networking,Network,C,s2,,APNet,APNet,apnet
CCS,ACM Conference on Computer and Communications Security,Security,A,s2,,CCS,CCS,ccs
EUROCRYPT,International Conference on the Theory and Applications of Cryptographic Techniques,Security,A,s2,,EUROCRYPT,EUROCRYPT,eurocrypt
S&P,IEEE Symposium on Security and Privacy,Security,A,s2,,S&P,S&P,"s&p,sp"
CRYPTO,International Cryptology Conference,Security,A,s2,,CRYPTO,CRYPTO,crypto
USENIX Security,USENIX Security Symposium,Security,A,s2,,USENIX Security,USENIX Security,"usenix security,usenixsecurity"
NDSS,Network and Distributed System Security Symposium,Security,A,s2,,NDSS,NDSS,ndss
ACSAC,Annual Computer Security Applications Conference,Security,B,s2,,ACSAC,ACSAC,acsac
ASIACRYPT,Annual International Conference on the Theory and Application of Cryptology and Information Security,Security,B,s2,,ASIACRYPT,ASIACRYPT,asiacrypt
ESORICS,European Symposium on Research in Computer Security,Security,B,s2,,ESORICS,ESORICS,esorics
FSE Crypto,Fast Software Encryption,Security,B,s2,,Fast Software Encryption,Fast Software Encryption,"fse crypto,fsecrypto"
CSFW,IEEE Computer Security Foundations Workshop,Security,B,s2,,CSFW,CSFW,csfw
SRDS,IEEE International Symposium on Reliable Distributed Systems,Security,B,s2,,SRDS,SRDS,srds
CHES,International Conference on Cryptographic Hardware and Embedded Systems,Security,B,s2,,CHES,CHES,ches
DSN,International Conference on Dependable Systems and Networks,Security,B,s2,,DSN,DSN,dsn
RAID,International Symposium on Recent Advances in Intrusion Detection,Security,B,s2,,RAID,RAID,raid
PKC,International Workshop on Practice and Theory in Public Key Cryptography,Security,B,s2,,PKC,PKC,pkc
TCC,Theory of Cryptography Conference,Security,B,s2,,TCC,TCC,tcc
WiSec,ACM Conference on Security and Privacy in Wireless and Mobile Networks,Security,C,s2,,WiSec,WiSec,wisec
SACMAT,ACM Symposium on Access Control Models and Technologies,Security,C,s2,,SACMAT,SACMAT,sacmat
DRM,ACM Workshop on Digital Rights Management,Security,C,s2,,DRM,DRM,drm
IH&MMSec,ACM Workshop on Information Hiding and Multimedia Security,Security,C,s2,,IH&MMSec,IH&MMSec,"ih&mmsec,ihmmsec"
ACNS,International Conference on Applied Cryptography and Network Security,Security,C,s2,,ACNS,ACNS,acns
AsiaCCS,ACM Asia Conference on Computer and Communications Security,Security,C,s2,,AsiaCCS,AsiaCCS,asiaccs
ACISP,Australasia Conference on Information Security and Privacy,Security,C,s2,,ACISP,ACISP,acisp
CT-RSA,The Cryptographer's Track at RSA Conference,Security,C,s2,,CT-RSA,CT-RSA,"ct-rsa,ctrsa"
DIMVA,Conference on Detection of Intrusions and Malware & Vulnerability Assessment,Security,C,s2,,DIMVA,DIMVA,dimva
DFRWS,Digital Forensic Research Workshop,Security,C,s2,,DFRWS,DFRWS,dfrws
FC,Financial Cryptography and Data Security,Security,C,s2,,FC,FC,fc
TrustCom,"IEEE International Conference on Trust, Security and Privacy in Computing and Communications",Security,C,s2,,TrustCom,TrustCom,trustcom
SEC,IFIP International Information Security Conference,Security,C,s2,,SEC,SEC,sec
IFIP WG 11.9,IFIP Working Group 11.9 International Conference on Digital Forensics,Security,C,s2,,IFIP WG 11.9,IFIP WG 11.9,"ifip wg 11.9,ifipwg119"
ISC,Information Security Conference,Security,C,s2,,ISC,ISC,isc
ICDF2C,International Conference on Digital Forensics & Cyber Crime,Security,C,s2,,ICDF2C,ICDF2C,icdf2c
ICICS,International Conference on Information and Communications Security,Security,C,s2,,ICICS,ICICS,icics
SecureComm,International Conference on Security and Privacy in Communication Networks,Security,C,s2,,SecureComm,SecureComm,securecomm
NSPW,New Security Paradigms Workshop,Security,C,s2,,NSPW,NSPW,nspw
PAM,Passive and Active Measurement Conference,Security,C,s2,,PAM,PAM,pam
PETS,Privacy Enhancing Technologies Symposium,Security,C,s2,,PETS,PETS,pets
SAC,Selected Areas in Cryptography,Security,C,s2,,SAC,SAC,sac
SOUPS,Symposium On Usable Privacy and Security,Security,C,s2,,SOUPS,SOUPS,soups
HotSec,USENIX Workshop on Hot Topics in Security,Security,C,s2,,HotSec,HotSec,hotsec
EuroS&P,IEEE European Symposium on Security and Privacy,Security,C,s2,,EuroS&P,EuroS&P,"euros&p,eurosp"
Inscrypt,International Conference on Information Security and Cryptology,Security,C,s2,,Inscrypt,Inscrypt,inscrypt
CODASPY,Conference on Data and Application Security and Privacy,Security,C,s2,,CODASPY,CODASPY,codaspy
BlockSys,"International Conference on Blockchain, Artificial Intelligence, and Trustworthy Systems",Security,C,s2,,BlockSys,BlockSys,blocksys
CSCloud,International Conference on Cyber Security and Cloud Computing,Security,C,s2,,CSCloud,CSCloud,cscloud
PLDI,ACM SIGPLAN Conference on Programming Language Design and Implementation,SE,A,s2,,PLDI,PLDI,pldi
