canonical_name,full_name,domain,tier,source_preference,openreview_id_pattern,s2_venue_key,openalex_venue_name,aliases
INTER-SPEECH,Conference of the International Speech Communication Association,CG,B,s2,,INTER-SPEECH,INTER-SPEECH,"inter-speech,interspeech"
VRST,ACM Symposium on Virtual Reality Software and Technology,CG,C,s2,,VRST,VRST,vrst
CASA,International Conference on Computer Animation and Social Agents,CG,C,s2,,CASA,CASA,casa
CGI,Computer Graphics International,CG,C,s2,,CGI,CGI,cgi
GMP,Geometric Modeling and Processing,CG,C,s2,,GMP,GMP,gmp
PacificVis,IEEE Pacific Visualization Symposium,CG,C,s2,,PacificVis,PacificVis,pacificvis
3DV,International Conference on 3D Vision,CG,C,s2,,3DV,3DV,3dv
CAD-Graphics,International Conference on Computer-Aided Design and Computer Graphics Processing,CG,C,s2,,CAD Graphics,CAD Graphics,"cad/graphics,cad-graphics,cadgraphics"
ICIP,IEEE International Conference on Image Processing,CG,C,s2,,ICIP,ICIP,icip
MMM,International Conference on Multimedia Modeling,CG,C,s2,,MMM,MMM,mmm
MMAsia,ACM Multimedia Asia,CG,C,s2,,MMAsia,MMAsia,mmasia
SMI,Shape Modeling International,CG,C,s2,,SMI,SMI,smi
ICVRV,International Conference on Virtual Reality and Visualization,CG,C,s2,,ICVRV,ICVRV,icvrv
CVM,Computational Visual Media,CG,C,s2,,CVM,CVM,cvm
PRCV,Chinese Conference on Pattern Recognition and Computer Vision,CG,C,s2,,PRCV,PRCV,prcv
ICIG,International Conference on Image and Graphics,CG,C,s2,,ICIG,ICIG,icig
NCMMSC,National Conference on Man-Machine Speech Communication,CG,C,s2,,NCMMSC,NCMMSC,ncmmsc
ASRU,Automatic Speech Recognition and Understanding Workshop,CG,C,s2,,ASRU,ASRU,asru
SLT,Spoken Language Technology,CG,C,s2,,SLT,SLT,slt
AAAI,AAAI Conference on Artificial Intelligence,AI,A,s2,,AAAI,AAAI,aaai
NeurIPS,Conference on Neural Information Processing Systems,AI,A,openreview,NeurIPS.cc/.*,NeurIPS,NeurIPS,neurips
ACL,Annual Meeting of the Association for Computational Linguistics,AI,A,s2,,ACL,ACL,acl
CVPR,IEEE/CVF Computer Vision and Pattern Recognition Conference,AI,A,s2,,CVPR,CVPR,cvpr
ICCV,International Conference on Computer Vision,AI,A,s2,,ICCV,ICCV,iccv
ICML,International Conference on Machine Learning,AI,A,openreview,ICML.cc/.*,ICML,ICML,icml
ICLR,International Conference on Learning Representations,AI,A,openreview,ICLR.cc/.*,ICLR,ICLR,iclr
COLT,Annual Conference on Computational Learning Theory,AI,B,s2,,COLT,COLT,colt
EMNLP,Conference on Empirical Methods in Natural Language Processing,AI,B,openreview,EMNLP/.*,EMNLP,EMNLP,emnlp
ECAI,European Conference on Artificial Intelligence,AI,B,s2,,ECAI,ECAI,ecai
ECCV,European Conference on Computer Vision,AI,B,s2,,ECCV,ECCV,eccv
ICRA,IEEE International Conference on Robotics and Automation,AI,B,s2,,ICRA,ICRA,icra
ICAPS,International Conference on Automated Planning and Scheduling,AI,B,s2,,ICAPS,ICAPS,icaps
ICCBR,International Conference on Case-Based Reasoning,AI,B,s2,,ICCBR,ICCBR,iccbr
COLING,International Conference on Computational Linguistics,AI,B,s2,,COLING,COLING,coling
KR,International Conference on Principles of Knowledge Representation and Reasoning,AI,B,s2,,KR,KR,kr
UAI,Conference on Uncertainty in Artificial Intelligence,AI,B,s2,,UAI,UAI,uai
AAMAS,International Joint Conference on Autonomous Agents and Multi-agent Systems,AI,B,s2,,AAMAS,AAMAS,aamas
PPSN,Parallel Problem Solving from Nature,AI,B,s2,,PPSN,PPSN,ppsn
NAACL,North American Chapter of the Association for Computational Linguistics,AI,B,s2,,NAACL,NAACL,naacl
IJCAI,International Joint Conference on Artificial Intelligence,AI,B,s2,,IJCAI,IJCAI,ijcai
AISTATS,International Conference on Artificial Intelligence and Statistics,AI,C,openreview,AISTATS/.*,AISTATS,AISTATS,aistats
ACCV,Asian Conference on Computer Vision,AI,C,s2,,ACCV,ACCV,accv
ACML,Asian Conference on Machine Learning,AI,C,s2,,ACML,ACML,acml
BMVC,British Machine Vision Conference,AI,C,s2,,BMVC,BMVC,bmvc
NLPCC,CCF International Conference on Natural Language Processing and Chinese Computing,AI,C,s2,,NLPCC,NLPCC,nlpcc
CoNLL,Conference on Computational Natural Language Learning,AI,C,s2,,CoNLL,CoNLL,conll
GECCO,Genetic and Evolutionary Computation Conference,AI,C,s2,,GECCO,GECCO,gecco
ICTAI,IEEE International Conference on Tools with Artificial Intelligence,AI,C,s2,,ICTAI,ICTAI,ictai
IROS,IEEE\\RSJ International Conference on Intelligent Robots and Systems,AI,C,s2,,IROS,IROS,iros
ALT,International Conference on Algorithmic Learning Theory,AI,C,s2,,ALT,ALT,alt
ICANN,International Conference on Artificial Neural Networks,AI,C,s2,,ICANN,ICANN,icann
FG,IEEE International Conference on Automatic Face and Gesture Recognition,AI,C,s2,,FG,FG,fg
ICDAR,International Conference on Document Analysis and Recognition,AI,C,s2,,ICDAR,ICDAR,icdar
ILP,International Conference on Inductive Logic Programming,AI,C,s2,,ILP,ILP,ilp
KSEM,"International conference on Knowledge Science, Engineering and Management",AI,C,s2,,KSEM,KSEM,ksem
ICONIP,International Conference on Neural Information Processing,AI,C,s2,,ICONIP,ICONIP,iconip
ICPR,International Conference on Pattern Recognition,AI,C,s2,,ICPR,ICPR,icpr
IJCB,International Joint Conference on Biometrics,AI,C,s2,,IJCB,IJCB,ijcb
IJCNN,International Joint Conference on Neural Networks,AI,C,s2,,IJCNN,IJCNN,ijcnn
PRICAI,Pacific Rim International Conference on Artificial Intelligence,AI,C,s2,,PRICAI,PRICAI,pricai
IEEE CEC,Congress on Evolutionary Computation,AI,C,s2,,IEEE CEC,IEEE CEC,"ieee cec,ieeecec"
DAI,International Conference on Distributed Artificial Intelligence,AI,C,s2,,DAI,DAI,dai
CSCW,ACM Conference On Computer-Supported Cooperative Work And Social Computing,HCI,A,s2,,CSCW,CSCW,cscw
CHI,ACM Conference on Human Factors in Computing Systems,HCI,A,s2,,CHI,CHI,chi
UbiComp,ACM international joint conference on Pervasive and Ubiquitous Computing,HCI,A,s2,,UbiComp,UbiComp,ubicomp
UIST,ACM Symposium on User Interface Software and Technology,HCI,A,s2,,UIST,UIST,uist
GROUP,ACM International Conference on Supporting Group Work,HCI,B,s2,,GROUP,GROUP,group
IUI,ACM International Conference on Intelligent User Interfaces,HCI,B,s2,,IUI,IUI,iui
ISS,ACM International Conference on Interactive Surfaces and Spaces,HCI,B,s2,,ISS,ISS,iss
ECSCW,European Conference on Computer Supported Cooperative Work,HCI,B,s2,,ECSCW,ECSCW,ecscw
PERCOM,IEEE International Conference on Pervasive Computing and Communications,HCI,B,s2,,PERCOM,PERCOM,percom
MobileHCI,ACM International Conference on Mobile Human-Computer Interaction,HCI,B,s2,,MobileHCI,MobileHCI,mobilehci
ICWSM,The International AAAI Conference on Web and Social Media,HCI,B,s2,,ICWSM,ICWSM,icwsm
DIS,ACM SIGCHI Conference on Designing Interactive Systems,HCI,C,s2,,DIS,DIS,dis
ICMI,ACM International Conference on Multimodal Interaction,HCI,C,s2,,ICMI,ICMI,icmi
ASSETS,International ACM SIGACCESS Conference on Computers and Accessibility,HCI,C,s2,,ASSETS,ASSETS,assets
GI,Graphics Interface,HCI,C,s2,,GI,GI,gi
UIC,IEEE International Conference on Ubiquitous Intelligence and Computing,HCI,C,s2,,UIC,UIC,uic
-,IEEE World Haptics Conference,HCI,C,s2,,-,-,-
INTERACT,International Conference on Human- Computer Interaction of International Federation for Information Processing,HCI,C,s2,,INTERACT,INTERACT,interact
IDC,ACM Interaction Design and Children,HCI,C,s2,,IDC,IDC,idc
CollaborateCom,"International Conference on Collaborative Computing: Networking, Applications and Worksharing",HCI,C,s2,,CollaborateCom,CollaborateCom,collaboratecom
CSCWD,International Conference on Computer Supported Cooperative Work in Design,HCI,C,s2,,CSCWD,CSCWD,cscwd
CoopIS,International Conference on Cooperative Information Systems,HCI,C,s2,,CoopIS,CoopIS,coopis
MobiQuitous,"International Conference on Mobile and Ubiquitous Systems: Computing, Networking and Services",HCI,C,s2,,MobiQuitous,MobiQuitous,mobiquitous
AVI,International Working Conference on Advanced Visual Interfaces,HCI,C,s2,,AVI,AVI,avi
GPC,"Conference on Green, Pervasive and Cloud Computing",HCI,C,s2,,GPC,GPC,gpc
ICXR,CCF International Conference on Extended Reality,HCI,C,s2,,ICXR,ICXR,icxr
WWW,International World Wide Web Conference,Interdisciplinary,A,s2,,WWW,WWW,www
RTSS,IEEE Real-Time Systems Symposium,Interdisciplinary,A,s2,,RTSS,RTSS,rtss
CogSci,Annual Meeting of the Cognitive Science Society,Interdisciplinary,B,s2,,CogSci,CogSci,cogsci
BIBM,IEEE International Conference on Bioinformatics and Biomedicine,Interdisciplinary,B,s2,,BIBM,BIBM,bibm
EMSOFT,International Conference on Embedded Software,Interdisciplinary,B,s2,,EMSOFT,EMSOFT,emsoft
ISMB,International conference on Intelligent Systems for Molecular Biology,Interdisciplinary,B,s2,,ISMB,ISMB,ismb
RECOMB,Annual International Conference on Research in Computational Molecular Biology,Interdisciplinary,B,s2,,RECOMB,RECOMB,recomb
MICCAI,International Conference on Medical Image Computing and Computer-Assisted Intervention,Interdisciplinary,B,s2,,MICCAI,MICCAI,miccai
WINE,Conference on Web and Internet Economics,Interdisciplinary,B,s2,,WINE,WINE,wine
AMIA,American Medical Informatics Association Annual Symposium,Interdisciplinary,C,s2,,AMIA,AMIA,amia
APBC,Asia Pacific Bioinformatics Conference,Interdisciplinary,C,s2,,APBC,APBC,apbc
IEEE BigData,IEEE International Conference on Big Data,Interdisciplinary,C,s2,,IEEE BigData,IEEE BigData,"ieee bigdata,ieeebigdata"
IEEE CLOUD,IEEE International Conference on Cloud Computing,Interdisciplinary,C,s2,,IEEE CLOUD,IEEE CLOUD,"ieee cloud,ieeecloud"
SMC,"IEEE International Conference on Systems, Man, and Cybernetics",Interdisciplinary,C,s2,,SMC,SMC,smc
COSIT,International Conference on Spatial Information Theory,Interdisciplinary,C,s2,,COSIT,COSIT,cosit
ISBRA,International Symposium on Bioinformatics Research and Applications,Interdisciplinary,C,s2,,ISBRA,ISBRA,isbra
SAGT,International Symposium on Algorithmic Game Theory,Interdisciplinary,C,s2,,SAGT,SAGT,sagt
SIGSPATIAL,ACM Special Interest Group on Spatial Information,Interdisciplinary,C,s2,,SIGSPATIAL,SIGSPATIAL,sigspatial
ICIC,International Conference on Intelligent Computing,Interdisciplinary,C,s2,,ICIC,ICIC,icic
ICSS,International Conference on Service Science,Interdisciplinary,C,s2,,ICSS,ICSS,icss
AFT,Advances in Financial Technologies,Interdisciplinary,C,s2,,AFT,AFT,aft
IJTCS-FAW,International Joint Conference on Theoretical Computer Science,Interdisciplinary,C,s2,,IJTCS-FAW,IJTCS-FAW,"ijtcs-faw,ijtcsfaw"
